StoryText,label
"As a doctor, I need to schedule appointment so that I can improve patient care",0
"As a bank customer, I would like to update information to save time",1
"As a user, I would like to add to cart to complete purchase",1
"As a user, I would like to view account balance to comply with regulations",1
"As a user, I would like to handle network issues to reduce costs with detailed specifications and comprehensive requirements",1
"As a investor, I would like to transfer funds to save time",0
"As a network admin, I would like to update configuration to maintain connectivity",1
"As a subscriber, I want to access tools in order to resolve issues",1
"As a user, I need to download statements so that I have better improve security",1
"As a bank customer, I would like to transfer funds to track spending with detailed specifications and comprehensive requirements",0
"As a service representative, I want to process requests in order to optimize performance",1
"As a investor, I need to transfer funds so that I can comply with regulations",0
"As a healthcare provider, I want to view medical records in order to ensure compliance",0
"As a customer, I want to process application in order to meet financial goals",1
"As a user, I want to update configuration in order to reduce costs",1
"As a patient, I want to process medical information in order to improve patient care",1
"As a shopper, I want to search products so that I can make informed decisions with detailed specifications and comprehensive requirements",0
"As a customer, I would like to access system to save time",1
"As a loan officer, I want to schedule appointment in order to improve security with detailed specifications and comprehensive requirements",0
"As a medical staff, I want to schedule appointment so that I can save time",0
"As a financial advisor, I would like to manage account to improve security",1
"As a nurse, I would like to schedule appointment to reduce errors",0
"As a buyer, I would like to process payments to save money",1
"As a medical staff, I want to process medical information in order to enhance safety",1
"As a bank customer, I want to transfer funds so that I can meet financial goals with detailed specifications and comprehensive requirements",0
"As a seller, I need to add to cart so I can track delivery",0
"As a quality inspector, I would like to monitor production to ensure quality",0
"As a user, I would like to prescribe medication to reduce errors with detailed specifications and comprehensive requirements",1
"As a user, I would like to apply for loan to track spending as soon as possible",1
"As a service representative, I would like to upgrade plan to maintain connectivity with detailed specifications and comprehensive requirements",0
"As a buyer, I would like to search products to complete purchase",0
"As a user, I need to handle finances so that I can comply with regulations with detailed specifications and comprehensive requirements",1
"As a service representative, I want to check data usage so that I can maintain connectivity with detailed specifications and comprehensive requirements",0
"As a seller, I would like to track order to complete purchase",0
"As a loan officer, I need to transfer funds so that I can comply with regulations with detailed specifications and comprehensive requirements",0
"As a shopper, I would like to update inventory to make informed decisions",1
"As a network admin, I want to check data usage in order to resolve issues",0
"As a bank customer, I need to process application so that I can meet financial goals with fast performance",1
"As a bank customer, I want to transfer funds in order to save time",0
"As a store owner, I want to handle orders in order to save money",1
"As a supervisor, I would like to update systems to ensure quality",1
"As a customer, I need to schedule appointment so that I can track spending",0
"As a buyer, I want to add to cart so that I can find desired items with detailed specifications and comprehensive requirements",0
"As a user, I want to access records in order to save time",1
"As a user, I would like to prescribe medication to save time",1
"As a user, I need to process requests so that I can reduce costs",1
"As a seller, I want to leave review in order to track delivery",0
"As a medical staff, I want to access records so that I can ensure compliance",1
"As a customer, I want to transfer funds so that I can improve security",0
"As a bank customer, I want to access system in order to save time",1
"As a network admin, I need to report outage so that I can maintain connectivity with detailed specifications and comprehensive requirements",0
"As a patient, I need to update patient info so that I can save time with detailed specifications and comprehensive requirements",0
"As a store owner, I want to process payments so that I have better save money",1
